line_name,station_name,train_number,direction_type,arrival_time,last_seen_time,status,count,dwell_seconds,dwell_minutes
1호선,가능,0972,0,2026-01-07 15:20:28,2026-01-07 15:20:28,1,1,0.0,0.0
1호선,가산디지털단지,0465,1,2026-01-07 15:19:50,2026-01-07 15:19:50,1,2,0.0,0.0
1호선,간석,0119,1,2026-01-07 15:22:47,2026-01-07 15:22:47,0,1,0.0,0.0
1호선,간석,0122,0,2026-01-07 15:21:02,2026-01-07 15:21:02,1,2,0.0,0.0
1호선,개봉,0114,0,2026-01-07 15:21:08,2026-01-07 15:21:58,0,3,50.0,0.8333333333333334
1호선,개봉,1100,0,2026-01-07 15:18:11,2026-01-07 15:18:11,1,1,0.0,0.0
1호선,관악,0654,0,2026-01-07 15:20:59,2026-01-07 15:20:59,1,2,0.0,0.0
1호선,광운대,0135,1,2026-01-07 15:20:40,2026-01-07 15:20:40,1,3,0.0,0.0
1호선,광운대,0458,0,2026-01-07 15:21:21,2026-01-07 15:21:21,1,3,0.0,0.0
1호선,광운대,0669,1,2026-01-07 15:21:41,2026-01-07 15:21:41,1,2,0.0,0.0
1호선,구로,0123,1,2026-01-07 15:20:16,2026-01-07 15:20:16,1,2,0.0,0.0
1호선,구로,0462,0,2026-01-07 15:18:23,2026-01-07 15:18:23,1,3,0.0,0.0
1호선,구로,1100,0,2026-01-07 15:21:43,2026-01-07 15:22:20,0,2,37.0,0.6166666666666667
1호선,구로,1928,0,2026-01-07 15:20:46,2026-01-07 15:22:26,0,3,100.0,1.6666666666666667
1호선,구로,7023,1,2026-01-07 15:19:53,2026-01-07 15:19:53,1,3,0.0,0.0
1호선,구일,0123,1,2026-01-07 15:22:36,2026-01-07 15:22:36,0,1,0.0,0.0
1호선,군포,0463,1,2026-01-07 15:19:47,2026-01-07 15:19:47,1,3,0.0,0.0
1호선,금정,0464,0,2026-01-07 15:20:22,2026-01-07 15:20:22,1,1,0.0,0.0
1호선,금정,1931,1,2026-01-07 15:19:48,2026-01-07 15:19:48,1,3,0.0,0.0
1호선,금천구청,0661,1,2026-01-07 15:20:27,2026-01-07 15:20:27,1,2,0.0,0.0
1호선,남영,0110,0,2026-01-07 15:21:28,2026-01-07 15:22:07,0,3,39.0,0.65
1호선,남영,1926,0,2026-01-07 15:18:21,2026-01-07 15:18:21,1,1,0.0,0.0
1호선,남영,1933,1,2026-01-07 15:20:11,2026-01-07 15:20:11,1,1,0.0,0.0
1호선,노량진,0125,1,2026-01-07 15:22:33,2026-01-07 15:22:33,0,1,0.0,0.0
1호선,녹양,0972,0,2026-01-07 15:22:14,2026-01-07 15:22:50,0,2,36.0,0.6
1호선,녹천,0104,0,2026-01-07 15:22:44,2026-01-07 15:22:44,0,1,0.0,0.0
1호선,당정,0656,0,2026-01-07 15:22:06,2026-01-07 15:22:06,1,2,0.0,0.0
1호선,덕계,0141,1,2026-01-07 15:22:13,2026-01-07 15:22:13,1,2,0.0,0.0
1호선,덕정,0141,1,2026-01-07 15:19:23,2026-01-07 15:19:23,1,1,0.0,0.0
1호선,도봉산,0137,1,2026-01-07 15:21:39,2026-01-07 15:22:24,0,2,45.0,0.75
1호선,독산,0465,1,2026-01-07 15:22:49,2026-01-07 15:22:49,1,1,0.0,0.0
1호선,동묘앞,0131,1,2026-01-07 15:21:35,2026-01-07 15:22:42,1,5,67.0,1.1166666666666667
1호선,동묘앞,0460,0,2026-01-07 15:21:32,2026-01-07 15:22:43,0,5,71.0,1.1833333333333333
1호선,동암,0119,1,2026-01-07 15:21:10,2026-01-07 15:21:10,1,2,0.0,0.0
1호선,동암,0122,0,2026-01-07 15:22:42,2026-01-07 15:22:42,0,1,0.0,0.0
1호선,두정,1927,1,2026-01-07 15:18:55,2026-01-07 15:18:55,1,2,0.0,0.0
1호선,망월사,0137,1,2026-01-07 15:19:42,2026-01-07 15:19:42,1,1,0.0,0.0
1호선,명학,0464,0,2026-01-07 15:21:49,2026-01-07 15:22:26,0,2,37.0,0.6166666666666667
1호선,방학,0818,0,2026-01-07 15:20:16,2026-01-07 15:21:39,0,3,83.0,1.3833333333333333
1호선,배방,1934,0,2026-01-07 15:21:35,2026-01-07 15:21:35,1,2,0.0,0.0
1호선,백운,0120,0,2026-01-07 15:20:17,2026-01-07 15:20:17,1,2,0.0,0.0
1호선,병점,1929,1,2026-01-07 15:22:44,2026-01-07 15:22:44,1,1,0.0,0.0
1호선,병점,1930,0,2026-01-07 15:20:34,2026-01-07 15:20:34,1,3,0.0,0.0
1호선,보산,0094,0,2026-01-07 15:21:24,2026-01-07 15:21:24,1,3,0.0,0.0
1호선,부천,0118,0,2026-01-07 15:21:44,2026-01-07 15:22:24,0,2,40.0,0.6666666666666666
1호선,부평,0120,0,2026-01-07 15:22:34,2026-01-07 15:22:34,0,1,0.0,0.0
1호선,부평,1611,1,2026-01-07 15:21:33,2026-01-07 15:22:11,0,3,38.0,0.6333333333333333
1호선,서울,0467,1,2026-01-07 15:21:29,2026-01-07 15:22:26,1,5,57.0,0.95
1호선,서울,1926,0,2026-01-07 15:21:54,2026-01-07 15:22:12,1,4,18.0,0.3
1호선,석계,0667,1,2026-01-07 15:19:49,2026-01-07 15:19:49,1,1,0.0,0.0
1호선,석수,0654,0,2026-01-07 15:22:53,2026-01-07 15:22:53,0,1,0.0,0.0
1호선,석수,0661,1,2026-01-07 15:22:32,2026-01-07 15:22:32,0,1,0.0,0.0
1호선,수원,0461,1,2026-01-07 15:21:33,2026-01-07 15:22:11,0,3,38.0,0.6333333333333333
1호선,수원,0658,0,2026-01-07 15:21:32,2026-01-07 15:22:03,0,3,31.0,0.5166666666666667
1호선,시청,0467,1,2026-01-07 15:21:19,2026-01-07 15:21:19,2,1,0.0,0.0
1호선,시청,0650,0,2026-01-07 15:18:49,2026-01-07 15:21:12,1,2,143.0,2.3833333333333333
1호선,신길,0652,0,2026-01-07 15:21:00,2026-01-07 15:21:00,1,3,0.0,0.0
1호선,신길,0663,1,2026-01-07 15:20:43,2026-01-07 15:20:43,1,2,0.0,0.0
1호선,신설동,0106,0,2026-01-07 15:19:47,2026-01-07 15:21:22,1,2,95.0,1.5833333333333333
1호선,신설동,1935,1,2026-01-07 15:22:42,2026-01-07 15:22:43,0,2,1.0,0.016666666666666666
1호선,신이문,0648,0,2026-01-07 15:22:29,2026-01-07 15:22:29,0,1,0.0,0.0
1호선,신이문,0667,1,2026-01-07 15:22:06,2026-01-07 15:22:06,1,2,0.0,0.0
1호선,역곡,0121,1,2026-01-07 15:21:25,2026-01-07 15:21:25,1,3,0.0,0.0
1호선,역곡,1101,1,2026-01-07 15:20:06,2026-01-07 15:20:06,1,3,0.0,0.0
1호선,영등포,0112,0,2026-01-07 15:21:21,2026-01-07 15:21:21,1,3,0.0,0.0
1호선,영등포,0663,1,2026-01-07 15:22:44,2026-01-07 15:22:44,1,1,0.0,0.0
1호선,오산,0659,1,2026-01-07 15:22:54,2026-01-07 15:22:54,1,1,0.0,0.0
1호선,오산대,0659,1,2026-01-07 15:20:02,2026-01-07 15:20:02,1,2,0.0,0.0
1호선,온수,0116,0,2026-01-07 15:21:14,2026-01-07 15:21:58,0,3,44.0,0.7333333333333333
